      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2013/12/30-10:00,5.7,5.84,5.67,5.75,1135100,           ,           ,           ,           ,11351,           ,           ,0,0,0
 2013/12/30-10:30,5.75,5.77,5.65,5.65,900700,           ,           ,           ,           ,9007,           ,           ,-0.01,0,-0.01
 2013/12/30-11:00,5.66,5.7,5.62,5.65,529000,           ,           ,           ,           ,5290,           ,           ,-0.01,0,-0.02
 2013/12/30-13:00,5.65,5.69,5.65,5.67,277000,           ,           ,           ,           ,2770,           ,           ,-0.02,-0.01,-0.02
 2013/12/30-13:30,5.67,5.68,5.65,5.65,231100,5.67,           ,           ,           ,2311,6145.8,           ,-0.02,-0.01,-0.02
 2013/12/30-14:00,5.65,5.67,5.61,5.62,390200,5.65,           ,           ,           ,3902,4656,           ,-0.03,-0.01,-0.03
 2013/12/30-14:30,5.62,5.68,5.62,5.67,268900,5.65,           ,           ,           ,2689,3392.4,           ,-0.03,-0.02,-0.02
 2013/12/30-15:00,5.67,5.67,5.63,5.64,444200,5.65,           ,           ,           ,4442,3222.8,           ,-0.03,-0.02,-0.02
 2013/12/31-10:00,5.62,5.66,5.54,5.6,627600,5.64,           ,           ,           ,6276,3924,           ,-0.03,-0.02,-0.02
 2013/12/31-10:30,5.55,5.57,5.47,5.52,984100,5.61,5.64,           ,           ,9841,5430,5787.9,-0.04,-0.02,-0.03
 2013/12/31-11:00,5.52,5.6,5.5,5.58,251000,5.6,5.63,           ,           ,2510,5151.6,4903.8,-0.04,-0.03,-0.03
 2013/12/31-13:00,5.58,5.6,5.55,5.56,212500,5.58,5.62,           ,           ,2125,5038.8,4215.6,-0.05,-0.03,-0.03
 2013/12/31-13:30,5.56,5.57,5.53,5.54,162600,5.56,5.61,           ,           ,1626,4475.6,3849.2,-0.05,-0.04,-0.03
 2013/12/31-14:00,5.54,5.55,5.52,5.53,183500,5.55,5.59,           ,           ,1835,3587.4,3755.7,-0.05,-0.04,-0.03
 2013/12/31-14:30,5.53,5.57,5.52,5.57,195400,5.56,5.58,           ,           ,1954,2010,3720,-0.05,-0.04,-0.02
 2013/12/31-15:00,5.56,5.64,5.55,5.62,541900,5.56,5.58,           ,           ,5419,2591.8,3871.7,-0.04,-0.04,-0.01
 2014/01/02-10:00,5.62,5.62,5.55,5.58,527000,5.57,5.57,           ,           ,5270,3220.8,4129.8,-0.04,-0.04,0
 2014/01/02-10:30,5.59,5.67,5.59,5.66,409000,5.59,5.58,           ,           ,4090,3713.6,4094.6,-0.03,-0.04,0.01
 2014/01/02-11:00,5.66,5.69,5.63,5.67,654900,5.62,5.58,           ,           ,6549,4656.4,4121.9,-0.03,-0.04,0.02
 2014/01/02-13:00,5.67,5.68,5.65,5.66,240900,5.64,5.6,5.62,           ,2409,4747.4,3378.7,-0.02,-0.03,0.03
 2014/01/02-13:30,5.66,5.67,5.62,5.63,178400,5.64,5.6,5.61,           ,1784,4020.4,3306.1,-0.02,-0.03,0.02
 2014/01/02-14:00,5.62,5.64,5.6,5.62,357800,5.65,5.61,5.61,           ,3578,3682,3451.4,-0.02,-0.03,0.02
 2014/01/02-14:30,5.63,5.67,5.63,5.65,332600,5.65,5.62,5.61,           ,3326,3529.2,3621.4,-0.01,-0.03,0.02
 2014/01/02-15:00,5.65,5.67,5.64,5.66,492100,5.64,5.63,5.61,           ,4921,3203.6,3930,-0.01,-0.02,0.02
 2014/01/03-10:00,5.65,5.65,5.54,5.56,766000,5.62,5.63,5.61,           ,7660,4253.8,4500.6,-0.02,-0.02,0.01
 2014/01/03-10:30,5.56,5.57,5.52,5.54,675500,5.61,5.62,5.6,           ,6755,5248,4634.2,-0.02,-0.02,0
 2014/01/03-11:00,5.56,5.56,5.48,5.51,614300,5.58,5.62,5.59,           ,6143,5761,4721.5,-0.03,-0.02,-0.01
 2014/01/03-13:00,5.51,5.53,5.48,5.48,316400,5.55,5.6,5.59,           ,3164,5728.6,4628.9,-0.03,-0.02,-0.02
 2014/01/03-13:30,5.48,5.5,5.47,5.5,292300,5.52,5.58,5.58,           ,2923,5329,4266.3,-0.04,-0.03,-0.02
 2014/01/03-14:00,5.5,5.51,5.48,5.5,175700,5.51,5.56,5.58,           ,1757,4148.4,4201.1,-0.04,-0.03,-0.02
 2014/01/03-14:30,5.5,5.56,5.49,5.53,307900,5.5,5.56,5.58,           ,3079,3413.2,4330.6,-0.04,-0.03,-0.01
 2014/01/03-15:00,5.54,5.56,5.51,5.52,421800,5.51,5.54,5.58,           ,4218,3028.2,4394.6,-0.04,-0.03,-0.01
 2014/01/06-10:00,5.5,5.5,5.34,5.37,762500,5.48,5.52,5.57,           ,7625,3920.4,4824.5,-0.05,-0.04,-0.03
 2014/01/06-10:30,5.38,5.41,5.37,5.4,330900,5.46,5.49,5.56,           ,3309,3997.6,4663.3,-0.06,-0.04,-0.03
 2014/01/06-11:00,5.4,5.45,5.4,5.45,267900,5.45,5.48,5.56,           ,2679,4182,4165.2,-0.06,-0.04,-0.02
 2014/01/06-13:00,5.45,5.47,5.44,5.47,326100,5.44,5.47,5.55,           ,3261,4218.4,3815.8,-0.05,-0.05,-0.02
 2014/01/06-13:30,5.45,5.51,5.45,5.51,164900,5.44,5.47,5.54,           ,1649,3704.6,3366.4,-0.05,-0.05,0
 2014/01/06-14:00,5.51,5.54,5.47,5.48,294700,5.46,5.47,5.54,           ,2947,2769,3344.7,-0.05,-0.05,0
 2014/01/06-14:30,5.48,5.48,5.44,5.45,241200,5.47,5.47,5.52,           ,2412,2589.6,3293.6,-0.05,-0.05,0
 2014/01/06-15:00,5.45,5.47,5.37,5.38,475900,5.46,5.46,5.51,           ,4759,3005.6,3593.8,-0.05,-0.05,-0.01
 2014/01/07-10:00,5.37,5.42,5.35,5.39,333800,5.44,5.44,5.5,           ,3338,3021,3619.7,-0.05,-0.05,-0.01
 2014/01/07-10:30,5.4,5.47,5.39,5.47,210100,5.43,5.44,5.49,           ,2101,3111.4,3408,-0.05,-0.05,0
 2014/01/07-11:00,5.47,5.53,5.45,5.49,297600,5.44,5.45,5.48,           ,2976,3117.2,2943.1,-0.04,-0.05,0.01
 2014/01/07-13:00,5.49,5.51,5.47,5.49,191700,5.44,5.46,5.47,           ,1917,3018.2,2803.9,-0.04,-0.04,0.02
 2014/01/07-13:30,5.49,5.5,5.47,5.48,145900,5.46,5.46,5.47,           ,1459,2358.2,2681.9,-0.03,-0.04,0.02
 2014/01/07-14:00,5.48,5.48,5.46,5.47,222200,5.48,5.46,5.47,           ,2222,2135,2578,-0.03,-0.04,0.02
 2014/01/07-14:30,5.47,5.51,5.47,5.5,337100,5.49,5.46,5.47,           ,3371,2389,2750.2,-0.03,-0.04,0.02
 2014/01/07-15:00,5.5,5.52,5.49,5.51,379900,5.49,5.46,5.47,           ,3799,2553.6,2835.4,-0.02,-0.03,0.03
 2014/01/08-10:00,5.49,5.62,5.49,5.59,596400,5.51,5.48,5.47,           ,5964,3363,3190.6,-0.01,-0.03,0.04
 2014/01/08-10:30,5.6,5.62,5.57,5.58,609800,5.53,5.5,5.48,           ,6098,4290.8,3324.5,0,-0.02,0.04
 2014/01/08-11:00,5.57,5.63,5.57,5.62,419300,5.56,5.52,5.48,           ,4193,4685,3410,0.01,-0.02,0.05
 2014/01/08-13:00,5.62,5.66,5.59,5.59,458100,5.58,5.53,5.48,           ,4581,4927,3658,0.01,-0.01,0.05
 2014/01/08-13:30,5.59,5.64,5.59,5.64,338600,5.6,5.55,5.5,           ,3386,4844.4,3699,0.02,-0.01,0.05
 2014/01/08-14:00,5.65,5.69,5.63,5.66,583200,5.62,5.56,5.51,           ,5832,4818,4090.5,0.03,0,0.05
 2014/01/08-14:30,5.66,5.69,5.64,5.66,499600,5.63,5.58,5.52,           ,4996,4597.6,4444.2,0.03,0.01,0.05
 2014/01/08-15:00,5.65,5.67,5.62,5.67,606900,5.64,5.6,5.53,           ,6069,4972.8,4828.9,0.04,0.01,0.05
 2014/01/09-10:00,5.65,5.72,5.59,5.59,568400,5.64,5.61,5.54,           ,5684,5193.4,5060.2,0.03,0.02,0.03
 2014/01/09-10:30,5.58,5.62,5.58,5.61,362600,5.64,5.62,5.54,           ,3626,5241.4,5042.9,0.03,0.02,0.02
 2014/01/09-11:00,5.61,5.66,5.61,5.65,220800,5.64,5.63,5.55,           ,2208,4516.6,4667.3,0.03,0.02,0.02
 2014/01/09-13:00,5.65,5.67,5.6,5.6,305500,5.62,5.63,5.56,5.56,3055,4128.4,4363,0.03,0.02,0.01
 2014/01/09-13:30,5.6,5.62,5.59,5.6,273800,5.61,5.63,5.57,5.56,2738,3462.2,4217.5,0.03,0.02,0.01
 2014/01/09-14:00,5.6,5.61,5.55,5.55,279100,5.6,5.62,5.58,5.56,2791,2883.6,4038.5,0.02,0.02,-0.01
 2014/01/09-14:30,5.55,5.55,5.45,5.45,547900,5.57,5.6,5.58,5.56,5479,3254.2,4247.8,0.01,0.02,-0.03
 2014/01/09-15:00,5.44,5.48,5.4,5.43,710200,5.53,5.58,5.57,5.55,7102,4233,4374.8,0,0.02,-0.04
 2014/01/10-10:00,5.39,5.43,5.3,5.34,497600,5.47,5.55,5.57,5.55,4976,4617.2,4372.8,-0.02,0.01,-0.06
 2014/01/10-10:30,5.34,5.41,5.34,5.41,174300,5.44,5.52,5.56,5.54,1743,4418.2,3940.2,-0.03,0,-0.06
 2014/01/10-11:00,5.41,5.42,5.34,5.35,176300,5.4,5.5,5.56,5.54,1763,4212.6,3548.1,-0.04,-0.01,-0.06
 2014/01/10-13:00,5.37,5.37,5.3,5.32,196500,5.37,5.47,5.55,5.53,1965,3509.8,3382,-0.05,-0.01,-0.07
 2014/01/10-13:30,5.36,5.38,5.34,5.35,91400,5.35,5.44,5.53,5.53,914,2272.2,3252.6,-0.05,-0.02,-0.06
 2014/01/10-14:00,5.34,5.37,5.32,5.34,178800,5.35,5.41,5.52,5.53,1788,1634.6,3125.9,-0.06,-0.03,-0.05
 2014/01/10-14:30,5.34,5.34,5.26,5.26,385100,5.32,5.38,5.5,5.52,3851,2056.2,3237.2,-0.07,-0.04,-0.06
 2014/01/10-15:00,5.26,5.27,5.17,5.25,430500,5.3,5.35,5.49,5.52,4305,2564.6,3388.6,-0.07,-0.04,-0.06
 2014/01/13-10:00,5.3,5.4,5.26,5.36,327200,5.31,5.34,5.47,5.51,3272,2826,3167.9,-0.07,-0.05,-0.04
 2014/01/13-10:30,5.36,5.37,5.3,5.3,244700,5.3,5.33,5.45,5.51,2447,3132.6,2702.4,-0.07,-0.05,-0.03
 2014/01/13-11:00,5.3,5.32,5.29,5.31,125100,5.3,5.32,5.44,5.5,1251,3025.2,2329.9,-0.07,-0.06,-0.02
 2014/01/13-13:00,5.31,5.33,5.27,5.29,127100,5.3,5.31,5.42,5.5,1271,2509.2,2282.7,-0.07,-0.06,-0.02
 2014/01/13-13:30,5.28,5.29,5.25,5.25,111300,5.3,5.3,5.4,5.49,1113,1870.8,2217.7,-0.07,-0.06,-0.02
 2014/01/13-14:00,5.26,5.28,5.23,5.25,149200,5.28,5.3,5.38,5.49,1492,1514.8,2170.4,-0.07,-0.06,-0.02
