      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2012/05/25,5.23,6.17,5.17,5.78,22641444,           ,           ,           ,           ,226414.44,           ,           ,0,0,0
 2012/05/28,5.51,5.62,5.24,5.45,11404171,           ,           ,           ,           ,114041.71,           ,           ,-0.03,-0.01,-0.04
 2012/05/29,5.35,5.54,5.34,5.48,8620501,           ,           ,           ,           ,86205.01,           ,           ,-0.04,-0.01,-0.06
 2012/05/30,5.44,5.8,5.4,5.65,9535808,           ,           ,           ,           ,95358.08,           ,           ,-0.04,-0.02,-0.05
 2012/05/31,5.61,5.75,5.57,5.66,6159219,5.6,           ,           ,           ,61592.19,116722.29,           ,-0.04,-0.02,-0.04
 2012/06/01,5.65,5.68,5.44,5.48,5607954,5.54,           ,           ,           ,56079.54,82655.3,           ,-0.06,-0.03,-0.05
 2012/06/04,5.38,5.39,5.25,5.31,3891622,5.52,           ,           ,           ,38916.22,67630.2,           ,-0.08,-0.04,-0.08
 2012/06/05,5.3,5.49,5.3,5.37,3172878,5.49,           ,           ,           ,31728.78,56734.96,           ,-0.09,-0.05,-0.08
 2012/06/06,5.38,5.4,5.21,5.21,3713550,5.41,           ,           ,           ,37135.5,45090.44,           ,-0.11,-0.06,-0.1
 2012/06/07,5.26,5.31,5.03,5.07,3923988,5.29,5.45,           ,           ,39239.88,40619.98,78671.13,-0.14,-0.08,-0.12
 2012/06/08,5.13,5.13,4.93,4.96,2694526,5.18,5.36,           ,           ,26945.26,34793.14,58724.22,-0.17,-0.1,-0.14
 2012/06/11,4.95,5.13,4.95,5.1,2511804,5.14,5.33,           ,           ,25118.04,32033.49,49831.85,-0.18,-0.11,-0.13
 2012/06/12,5.05,5.16,4.95,5.11,2572906,5.09,5.29,           ,           ,25729.06,30833.55,43784.25,-0.18,-0.13,-0.11
 2012/06/13,5.11,5.21,5.07,5.19,2685696,5.09,5.25,           ,           ,26856.96,28777.85,36934.14,-0.18,-0.14,-0.08
 2012/06/14,5.17,5.51,5.14,5.38,5695780,5.15,5.22,           ,           ,56957.8,32321.43,36470.7,-0.15,-0.14,-0.03
 2012/06/15,5.35,5.47,5.29,5.44,4006132,5.24,5.21,           ,           ,40061.32,34944.64,34868.89,-0.13,-0.14,0.01
 2012/06/18,5.42,5.53,5.4,5.43,3750027,5.31,5.23,           ,           ,37500.27,37421.09,34727.29,-0.11,-0.13,0.04
 2012/06/19,5.43,5.74,5.38,5.55,5144149,5.4,5.24,           ,           ,51441.49,42563.56,36698.55,-0.09,-0.12,0.07
 2012/06/20,5.8,5.92,5.62,5.73,7752676,5.51,5.3,           ,           ,77526.76,52697.51,40737.68,-0.05,-0.11,0.12
 2012/06/21,5.67,5.79,5.56,5.72,4291960,5.57,5.36,5.4,           ,42919.6,49889.89,41105.66,-0.02,-0.09,0.14
 2012/06/25,5.67,5.67,5.45,5.48,3949985,5.58,5.41,5.39,           ,39499.85,49777.59,42361.11,-0.02,-0.08,0.11
 2012/06/26,5.44,5.57,5.3,5.51,3465493,5.6,5.45,5.39,           ,34654.93,49208.51,43314.8,-0.02,-0.07,0.1
 2012/06/27,5.46,6.08,5.44,5.89,10185788,5.67,5.53,5.41,           ,101857.88,59291.82,50927.7,0.02,-0.05,0.13
 2012/06/28,5.84,6.06,5.8,5.82,5859116,5.68,5.6,5.42,           ,58591.16,55504.7,54101.11,0.04,-0.03,0.14
 2012/06/29,5.75,6.13,5.72,5.96,5572881,5.73,5.65,5.44,           ,55728.81,58066.52,53978.21,0.07,-0.01,0.16
 2012/07/02,5.96,6.25,5.9,6.23,5823659,5.88,5.73,5.47,           ,58236.59,61813.88,55795.73,0.11,0.01,0.19
 2012/07/03,6.16,6.27,6.1,6.2,4635394,6.02,5.81,5.52,           ,46353.94,64153.7,56681.11,0.14,0.04,0.2
 2012/07/04,6.15,6.17,5.73,5.74,7269329,5.99,5.83,5.54,           ,72693.29,58320.75,58806.29,0.12,0.05,0.14
 2012/07/06,5.67,5.8,5.47,5.8,5330409,5.99,5.84,5.57,           ,53304.09,57263.35,56384.02,0.11,0.07,0.1
 2012/07/09,5.68,5.75,5.49,5.57,3524376,5.91,5.82,5.59,           ,35243.76,53166.35,55616.44,0.09,0.07,0.03
 2012/07/10,5.49,5.5,5.2,5.2,3982398,5.7,5.79,5.6,           ,39823.98,49483.8,55648.84,0.04,0.06,-0.05
 2012/07/11,5.14,5.3,5.13,5.29,2661987,5.52,5.77,5.61,           ,26619.87,45536.98,54845.34,0,0.05,-0.1
 2012/07/12,5.23,5.43,5.19,5.37,3058067,5.45,5.72,5.63,           ,30580.67,37114.48,47717.61,-0.02,0.04,-0.11
 2012/07/13,5.32,5.48,5.19,5.23,3259291,5.33,5.66,5.63,           ,32592.91,32972.23,45117.79,-0.04,0.02,-0.13
 2012/07/16,5.23,5.23,4.93,4.98,2720063,5.21,5.56,5.61,           ,27200.63,31363.6,42264.98,-0.08,0,-0.17
 2012/07/17,4.89,4.89,4.52,4.65,4303267,5.1,5.4,5.57,           ,43032.67,32005.38,40744.59,-0.14,-0.03,-0.23
