      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2012/05/25,5.23,6.17,5.17,5.78,226414,           ,           ,           ,           ,226414,           ,           ,0,0,0
 2012/06/01,5.51,5.8,5.24,5.48,413275,           ,           ,           ,           ,413275,           ,           ,-0.02,0,-0.04
 2012/06/08,5.38,5.49,4.93,4.96,173963,           ,           ,           ,           ,173963,           ,           ,-0.08,-0.02,-0.13
 2012/06/15,4.95,5.51,4.95,5.44,174721,           ,           ,           ,           ,174721,           ,           ,-0.09,-0.03,-0.11
 2012/06/21,5.42,5.92,5.38,5.72,209386,5.48,           ,           ,           ,209386,239551.8,           ,-0.07,-0.04,-0.06
 2012/06/29,5.67,6.13,5.3,5.96,290329,5.51,           ,           ,           ,290329,252334.8,           ,-0.04,-0.04,0
 2012/07/06,5.96,6.27,5.47,5.8,230586,5.58,           ,           ,           ,230586,215797,           ,-0.03,-0.04,0.02
 2012/07/13,5.68,5.75,5.13,5.23,164857,5.63,           ,           ,           ,164857,213975.8,           ,-0.06,-0.04,-0.03
 2012/07/20,5.23,5.23,4.52,4.85,143883,5.51,           ,           ,           ,143883,207808.2,           ,-0.12,-0.06,-0.12
 2012/07/27,4.78,5.2,4.7,4.78,101129,5.32,5.4,           ,           ,101129,186156.8,212854.3,-0.17,-0.08,-0.17
 2012/08/03,4.77,4.9,4.56,4.88,56111,5.11,5.31,           ,           ,56111,139313.2,195824,-0.19,-0.1,-0.18
 2012/08/10,4.88,5.07,4.74,5.01,86619,4.95,5.26,           ,           ,86619,110519.8,163158.41,-0.2,-0.12,-0.16
 2012/08/17,4.99,5.05,4.64,4.73,61130,4.85,5.24,           ,           ,61130,89774.4,151875.09,-0.23,-0.14,-0.17
 2012/08/24,4.67,5.01,4.65,4.85,67916,4.85,5.18,           ,           ,67916,74581,141194.59,-0.24,-0.16,-0.15
 2012/08/31,4.82,4.98,4.64,4.77,56687,4.85,5.09,           ,           ,56687,65692.6,125924.7,-0.25,-0.18,-0.14
 2012/09/07,4.77,5.16,4.72,5.08,81143,4.89,5,           ,           ,81143,70699,105006.1,-0.23,-0.19,-0.08
 2012/09/14,5.04,5.31,4.92,5.22,102876,4.93,4.94,           ,           ,102876,73950.4,92235.1,-0.2,-0.19,-0.02
 2012/09/21,5.22,5.22,4.59,4.62,80969,4.91,4.88,           ,           ,80969,77918.2,83846.3,-0.23,-0.2,-0.05
 2012/09/28,4.55,4.68,4.3,4.49,45197,4.84,4.84,           ,           ,45197,73374.4,73977.7,-0.25,-0.21,-0.08
 2012/10/12,4.48,4.69,4.43,4.47,41669,4.78,4.81,5.11,           ,41669,70370.8,68031.7,-0.27,-0.22,-0.1
 2012/10/19,4.47,4.51,4.32,4.43,40359,4.65,4.77,5.04,           ,40359,62214,66456.5,-0.29,-0.24,-0.1
 2012/10/26,4.4,4.71,4.4,4.44,55825,4.49,4.71,4.99,           ,55825,52803.8,63377.1,-0.29,-0.25,-0.09
 2012/11/02,4.45,4.62,4.38,4.56,33512,4.48,4.69,4.97,           ,33512,43312.4,60615.3,-0.29,-0.25,-0.06
 2012/11/09,4.56,4.59,4.31,4.34,26140,4.45,4.64,4.91,           ,26140,39501,56437.7,-0.3,-0.26,-0.07
 2012/11/16,4.37,4.37,4.09,4.15,22633,4.38,4.58,4.83,           ,22633,35693.8,53032.3,-0.31,-0.27,-0.08
 2012/11/23,4.15,4.22,4.03,4.16,18806,4.33,4.49,4.74,           ,18806,31383.2,46798.6,-0.32,-0.28,-0.08
 2012/11/30,4.13,4.16,3.48,3.53,22659,4.15,4.32,4.63,           ,22659,24750,38776.9,-0.38,-0.3,-0.15
 2012/12/07,3.54,3.61,3.25,3.58,40270,3.95,4.21,4.55,           ,40270,26101.6,34707,-0.41,-0.32,-0.18
 2012/12/14,3.6,3.71,3.5,3.69,35956,3.82,4.13,4.49,           ,35956,28064.8,33782.9,-0.43,-0.35,-0.16
 2012/12/21,3.7,4.32,3.7,4.18,77686,3.83,4.11,4.46,           ,77686,39075.4,37384.6,-0.39,-0.36,-0.08
 2012/12/28,4.16,5.15,4.11,4.89,182277,3.97,4.15,4.46,           ,182277,71769.6,51576.4,-0.31,-0.35,0.08
 2013/01/04,4.91,4.91,4.67,4.82,46767,4.23,4.19,4.45,           ,46767,76591.2,50670.6,-0.24,-0.32,0.17
 2013/01/11,4.88,5,4.6,4.69,121900,4.45,4.2,4.45,           ,121900,92917.2,59509.4,-0.2,-0.3,0.21
 2013/01/18,4.71,4.99,4.71,4.81,92833,4.68,4.25,4.45,           ,92833,104292.6,66178.7,-0.15,-0.27,0.24
 2013/01/25,4.83,4.96,4.46,4.54,94751,4.75,4.29,4.43,           ,94751,107705.6,73390.5,-0.13,-0.24,0.22
 2013/02/01,4.54,4.78,4.53,4.63,46405,4.7,4.34,4.41,           ,46405,80531.2,76150.4,-0.11,-0.22,0.21
 2013/02/08,4.63,4.99,4.51,4.95,55269,4.72,4.48,4.4,           ,55269,82231.6,79411.4,-0.07,-0.19,0.24
 2013/02/22,4.98,5.14,4.82,4.89,84499,4.76,4.61,4.41,           ,84499,74751.4,83834.3,-0.04,-0.16,0.24
 2013/03/01,4.9,4.98,4.57,4.74,71727,4.75,4.71,4.42,           ,71727,70530.2,87411.4,-0.02,-0.13,0.21
 2013/03/08,4.71,5.06,4.53,4.66,79652,4.77,4.76,4.43,           ,79652,67510.4,87608,-0.02,-0.11,0.17
 2013/03/15,4.65,4.69,4.25,4.37,41131,4.72,4.71,4.43,           ,41131,66455.6,73493.4,-0.04,-0.09,0.11
 2013/03/22,4.37,4.51,4.19,4.47,29280,4.63,4.68,4.43,           ,29280,61257.8,71744.7,-0.05,-0.09,0.07
 2013/03/29,4.47,4.52,4,4.01,33712,4.45,4.61,4.4,           ,33712,51100.4,62925.9,-0.09,-0.09,-0.01
 2013/04/03,3.98,4.22,3.98,4.12,17647,4.33,4.54,4.39,           ,17647,40284.4,55407.3,-0.11,-0.09,-0.04
 2013/04/11,4.09,4.17,4,4.04,18768,4.2,4.49,4.39,           ,18768,28107.6,47809,-0.14,-0.1,-0.07
 2013/04/19,4.07,4.27,3.92,4.23,23430,4.17,4.45,4.39,           ,23430,24567.4,45511.5,-0.14,-0.11,-0.06
 2013/04/26,4.34,4.68,4.28,4.47,66877,4.17,4.4,4.44,           ,66877,32086.8,46672.3,-0.12,-0.11,-0.02
 2013/05/03,4.45,4.66,4.44,4.59,16425,4.29,4.37,4.49,           ,16425,28629.4,39864.9,-0.09,-0.11,0.03
 2013/05/10,4.63,4.82,4.53,4.8,58047,4.43,4.38,4.54,           ,58047,36709.4,38496.9,-0.05,-0.1,0.08
 2013/05/17,4.85,4.86,4.63,4.82,51600,4.58,4.39,4.58,           ,51600,43275.8,35691.7,-0.02,-0.08,0.12
 2013/05/24,4.85,5.15,4.78,5.06,104247,4.75,4.46,4.59,           ,104247,59439.2,42003.3,0.02,-0.06,0.17
 2013/05/31,5.08,5.55,5.06,5.48,119479,4.95,4.56,4.62,           ,119479,69959.6,51023.2,0.09,-0.03,0.24
 2013/06/07,5.48,5.51,4.9,4.97,59398,5.03,4.66,4.63,           ,59398,78554.2,53591.8,0.1,0,0.21
 2013/06/14,4.9,4.91,4.6,4.87,17301,5.04,4.73,4.64,           ,17301,70405,53557.2,0.1,0.02,0.17
 2013/06/21,4.89,5.38,4.72,5.05,82392,5.09,4.83,4.66,           ,82392,76563.4,59919.6,0.12,0.04,0.16
 2013/06/28,5.03,5.12,4.28,4.71,71867,5.02,4.88,4.66,           ,71867,70087.4,64763.3,0.1,0.05,0.1
 2013/07/05,4.81,4.92,4.39,4.79,95943,4.88,4.91,4.66,           ,95943,65380.2,67669.9,0.09,0.06,0.06
 2013/07/12,4.68,4.79,4.46,4.7,64075,4.82,4.93,4.65,           ,64075,66315.6,72434.9,0.07,0.06,0.03
 2013/07/19,4.7,4.98,4.7,4.84,88479,4.82,4.93,4.65,           ,88479,80551.2,75478.1,0.07,0.06,0.02
 2013/07/26,4.79,5.29,4.72,5.06,128253,4.82,4.95,4.67,4.74,128253,89723.4,83143.4,0.09,0.07,0.04
 2013/08/02,5.05,5.13,4.69,5.04,77887,4.89,4.95,4.71,4.73,77887,90927.4,80507.4,0.1,0.07,0.05
 2013/08/09,5.03,5.37,5.01,5.24,144047,4.98,4.93,4.74,4.72,144047,100548.2,82964.2,0.12,0.08,0.07
