      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2014/12/10-10:00,2855.94,2903.61,2811.05,2871.39,14970891,           ,           ,           ,           ,14970891,           ,           ,0,0,0
 2014/12/10-10:30,2870.5,2870.5,2836.27,2853.57,6120302,           ,           ,           ,           ,6120302,           ,           ,-1.42,-0.28,-2.27
 2014/12/10-11:00,2853.6,2853.6,2807.68,2852.88,6410850,           ,           ,           ,           ,6410850,           ,           ,-2.57,-0.74,-3.66
 2014/12/10-13:00,2853.41,2872.3,2845.64,2867.55,3932150,           ,           ,           ,           ,3932150,           ,           ,-2.28,-1.05,-2.46
 2014/12/10-13:30,2867.27,2880.25,2864.84,2880.25,4314552,2865.13,           ,           ,           ,4314552,7149749,           ,-1.01,-1.04,0.07
 2014/12/10-14:00,2881.11,2909.73,2872.67,2909.73,4991752,2872.8,           ,           ,           ,4991752,5153921,           ,2.35,-0.36,5.43
 2014/12/10-14:30,2909.17,2926.35,2900.68,2922.87,5386787,2886.66,           ,           ,           ,5386787,5007218.5,           ,6.01,0.91,10.19
 2014/12/10-15:00,2922.08,2946.33,2922.08,2940.01,7371708,2904.08,           ,           ,           ,7371708,5199389.5,           ,10.17,2.76,14.81
 2014/12/11-10:00,2912.35,2950.1,2899.25,2949.33,11953803,2920.44,           ,           ,           ,11953803,6803721,           ,14.06,5.02,18.07
 2014/12/11-10:30,2950.29,2965.26,2945.75,2953.6,7449750,2935.11,2900.12,           ,           ,7449750,7430760,7290254.5,17.28,7.47,19.62
 2014/12/11-11:00,2953.57,2953.57,2918.57,2927.81,6083949,2938.72,2905.76,           ,           ,6083949,7649200,6401560.5,17.56,9.49,16.13
 2014/12/11-13:00,2927.06,2947.12,2919,2921.7,3687802,2938.49,2912.57,           ,           ,3687802,7309402.5,6158310.5,17.08,11.01,12.15
 2014/12/11-13:30,2920.86,2924.13,2892.64,2914.49,4972796,2933.39,2918.73,           ,           ,4972796,6829619,6014504.5,15.94,12,7.89
 2014/12/11-14:00,2915.28,2934.42,2912.82,2923.53,3601753,2928.23,2924.33,           ,           ,3601753,5159210.5,5981465.5,15.59,12.71,5.75
 2014/12/11-14:30,2923.05,2940.68,2919.8,2925.22,3599007,2922.55,2928.83,           ,           ,3599007,4389062.5,5909911,15.27,13.22,4.09
 2014/12/11-15:00,2925.27,2926.94,2909.45,2925.74,6631279,2922.14,2930.43,           ,           ,6631279,4498526.5,6073863,14.88,13.56,2.66
 2014/12/12-10:00,2929.36,2950.57,2929.36,2942.65,11188933,2926.33,2932.41,           ,           ,11188933,5998753.5,6654078,15.76,14,3.53
 2014/12/12-10:30,2943.32,2955.36,2930.06,2952.69,6112105,2933.97,2933.68,           ,           ,6112105,6226616,6528117.5,17.07,14.61,4.92
 2014/12/12-11:00,2952.28,2961.7,2945.55,2946.29,5093354,2938.52,2933.37,           ,           ,5093354,6524934.5,5842072.5,17.39,15.17,4.45
 2014/12/12-13:00,2945.3,2948.13,2925.23,2925.64,4161793,2938.6,2930.58,2915.35,           ,4161793,6637491,5513277,15.8,15.3,1.01
 2014/12/12-13:30,2925.14,2932.49,2917.4,2923.26,3622884,2938.11,2930.12,2917.94,           ,3622884,6035814.5,5267170.5,14.18,15.07,-1.78
 2014/12/12-14:00,2923.36,2935.14,2915.22,2935.14,3147979,2936.6,2931.46,2922.02,           ,3147979,4427622.5,5213188,13.7,14.8,-2.2
 2014/12/12-14:30,2934.32,2939.73,2921.97,2937.17,3337433,2933.5,2933.73,2926.23,           ,3337433,3872689.5,5049653,13.33,14.5,-2.35
 2014/12/12-15:00,2937.7,2945.93,2935.75,2938.17,5376540,2931.88,2935.2,2929.76,           ,5376540,3929328,5227131,12.96,14.2,-2.46
 2014/12/15-10:00,2921.45,2921.45,2898.29,2912.56,10142132,2929.26,2933.93,2931.38,           ,10142132,5125395,5881443,10.49,13.45,-5.93
 2014/12/15-10:30,2911.84,2921.72,2899.95,2900.56,5522204,2924.72,2931.41,2930.92,           ,5522204,5505256,5770535,7.47,12.26,-9.57
 2014/12/15-11:00,2900.17,2907.69,2891.14,2895.48,4180685,2916.79,2926.7,2929.55,           ,4180685,5711798.5,5069710.5,4.62,10.73,-12.22
 2014/12/15-13:00,2896.02,2915.55,2895.38,2915.36,3202028,2912.43,2922.96,2928.32,           ,3202028,5684717,4778703,3.92,9.37,-10.9
 2014/12/15-13:30,2916.42,2934.22,2912.05,2933.2,3805763,2911.43,2921.65,2927.51,           ,3805763,5370560,4649944,4.74,8.44,-7.4
 2014/12/15-14:00,2932.75,2934.75,2925.23,2927.66,3624150,2914.45,2921.86,2926.22,           ,3624150,4066966.5,4596181,4.9,7.73,-5.67
 2014/12/15-14:30,2926.77,2942.23,2919.16,2942.23,3744910,2922.79,2923.75,2926.94,           ,3744910,3711507.25,4608381.5,6.12,7.41,-2.58
 2014/12/15-15:00,2942.12,2960.02,2942.12,2953.42,6926837,2934.37,2925.58,2928.52,           ,6926837,4260739,4986269,7.91,7.51,0.79
 2014/12/16-10:00,2953.81,2969.87,2944.5,2966.17,12538982,2944.54,2928.48,2931.11,           ,12538982,6128128,5906422.5,10.23,8.05,4.35
 2014/12/16-10:30,2964.76,2993.69,2957.14,2990.55,8534701,2956,2933.72,2934.46,           ,8534701,7073917,6222238.5,13.88,9.22,9.32
 2014/12/16-11:00,2989.65,3001.39,2974.06,2985.05,6128962,2967.48,2940.97,2937.45,           ,6128962,7574877,5820921.5,16.14,10.6,11.08
 2014/12/16-13:00,2984.42,2992.47,2973.63,2975.37,3862423,2974.11,2948.45,2939.93,           ,3862423,7598384,5654945.5,16.96,11.88,10.17
 2014/12/16-13:30,2975.9,2981.73,2963.77,2968.48,3489359,2977.13,2955.75,2941.22,           ,3489359,6910886.5,5585813,16.86,12.87,7.97
 2014/12/16-14:00,2967.23,2986.23,2967.23,2986.23,3571800,2981.14,2962.84,2942.9,           ,3571800,5117449.5,5622789,18,13.9,8.2
 2014/12/16-14:30,2985.75,2999.32,2980.79,2989.2,4290192,2980.87,2968.44,2945.05,           ,4290192,4268547,5671232,18.93,14.9,8.05
 2014/12/16-15:00,2988.79,3021.52,2988.37,3021.52,6855196,2988.16,2977.82,2949.84,           ,6855196,4413795,5994336,22.02,16.33,11.38
 2014/12/17-10:00,3031.95,3032.76,3004.47,3023.75,13875388,2997.84,2985.97,2954.86,           ,13875388,6416387,7007385.5,24.36,17.93,12.86
 2014/12/17-10:30,3023.97,3049.6,3013.22,3049.04,8540295,3013.95,2995.54,2960.56,           ,8540295,7426573,7168729.5,27.94,19.93,16.01
 2014/12/17-11:00,3049.2,3057.04,3015.97,3026.35,7269593,3021.97,3001.55,2965.02,           ,7269593,8166134.5,6641792,28.62,21.67,13.89
 2014/12/17-13:00,3025.68,3051.46,3014.49,3051.46,4716583,3034.42,3007.65,2970.68,           ,4716583,8251411,6259979,30.82,23.5,14.64
 2014/12/17-13:30,3054.34,3076.6,3026.08,3037.06,7381863,3037.53,3012.85,2976.91,           ,7381863,8356742.5,6385269,31.05,25.01,12.08
 2014/12/17-14:00,3036.16,3050.35,3030.13,3034.68,4005560,3039.72,3018.78,2983.61,           ,4005560,6382777.5,6399582.5,30.69,26.15,9.08
 2014/12/17-14:30,3034.92,3035.04,2993.45,3024.76,5827244,3034.86,3024.4,2990.08,           ,5827244,5840166.5,6633369.5,29.26,26.77,4.98
 2014/12/17-15:00,3023.92,3061.02,3023.92,3061.02,6417327,3041.8,3031.88,2997.36,           ,6417327,5669715,6917925,30.7,27.56,6.29
 2014/12/18-10:00,3062.8,3075.66,3052.89,3070.58,10799850,3045.62,3040.02,3004.23,           ,10799850,6886368,7568889.5,32.24,28.49,7.5
 2014/12/18-10:30,3070.55,3070.55,3044.21,3056.27,6090764,3049.46,3043.5,3010.66,           ,6090764,6628147,7492445,31.94,29.18,5.52
 2014/12/18-11:00,3056.06,3063.41,3047.85,3055.2,4392507,3053.57,3046.64,3016.31,           ,4392507,6705536,6544157,31.26,29.6,3.32
 2014/12/18-13:00,3055.19,3056.23,3030.55,3051.11,4546494,3058.84,3046.85,3021.19,           ,4546494,6449389,6144777.5,30.04,29.69,0.7
 2014/12/18-13:30,3051.73,3075.14,3051.73,3066.62,4774595,3059.96,3050.88,3026.22,           ,4774595,6120838.5,5895277,29.98,29.74,0.47
 2014/12/18-14:00,3066.55,3086.52,3061.35,3073.49,4844342,3060.54,3053.08,3030.36,           ,4844342,4929741,5908054.5,30.14,29.82,0.63
 2014/12/18-14:30,3073.64,3089.72,3064.92,3072.27,4914469,3063.74,3056.6,3034.72,           ,4914469,4694483,5661315,29.82,29.82,0
 2014/12/18-15:00,3073.01,3074.55,3053.32,3057.52,6289427,3064.2,3058.88,3038.83,           ,6289427,5073869,5889702.5,28.06,29.47,-2.83
 2014/12/19-10:00,3053.07,3075.74,3041.33,3072.74,10811294,3068.53,3063.68,3044.04,           ,10811294,6326829,6388109,27.57,29.09,-3.04
 2014/12/19-10:30,3072.87,3092.23,3067.69,3092.23,6720388,3073.65,3066.8,3049.34,           ,6720388,6715987,6418413,28.43,28.96,-1.06
 2014/12/19-11:00,3092.51,3093.34,3060.2,3070.46,5769912,3073.04,3066.79,3053.41,           ,5769912,6901101,5915421,27.04,28.57,-3.07
 2014/12/19-13:00,3069.34,3069.8,3019.82,3042.77,5811258,3067.14,3065.44,3054.47,2973.22,5811258,7080454.5,5887469,23.43,27.54,-8.22
 2014/12/19-13:30,3042.36,3049.6,3018.87,3049.6,4694740,3065.56,3064.88,3055.76,2976.19,4694740,6761517,5917693,20.89,26.21,-10.65
 2014/12/19-14:00,3049.59,3092.12,3049.14,3090.3,5633539,3069.07,3068.8,3057.82,2980.13,5633539,5725965,6026397,21.9,25.35,-6.9
 2014/12/19-14:30,3091.17,3117.53,3084.93,3112.23,6056178,3073.07,3073.36,3062.12,2984.46,6056178,5593126.5,6154557,24.2,25.12,-1.85
 2014/12/19-15:00,3112.93,3112.93,3096.66,3108.6,6060716,3080.7,3076.87,3064.98,2988.47,6060716,5651283,6276192,25.43,25.18,0.49
 2014/12/22-10:00,3129.27,3164.84,3107.86,3164.5,17236224,3105.05,3086.1,3071.35,2993.21,17236224,7936281.5,7508368,30.56,26.26,8.61
