      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 1990/12/21,96.05,109.13,95.79,109.13,13,           ,           ,           ,           ,1300,           ,           ,0,0,0
 1990/12/28,113.57,126.45,109.13,126.45,2,           ,           ,           ,           ,200,           ,           ,1.38,0.28,2.21
 1991/01/04,126.56,131.44,126.48,131.44,5,           ,           ,           ,           ,500,           ,           ,2.85,0.79,4.11
 1991/01/11,131.99,134.61,131.45,134.6,319,           ,           ,           ,           ,31900,           ,           ,4.21,1.48,5.48
 1991/01/18,134.11,135.19,133.65,134.24,180,127.17,           ,           ,           ,18000,10380,           ,5.21,2.22,5.97
 1991/01/25,133.7,134.24,132.03,132.05,85,131.76,           ,           ,           ,8500,11820,           ,5.75,2.93,5.65
 1991/02/01,131.46,131.55,129.45,129.51,77,132.37,           ,           ,           ,7700,13320,           ,5.91,3.52,4.77
 1991/02/08,129.05,130.39,128.06,130.38,189,132.16,           ,           ,           ,18900,17000,           ,6.04,4.03,4.02
 1991/02/14,130.92,132.53,130.39,132.53,177,131.74,           ,           ,           ,17700,14160,           ,6.24,4.47,3.54
 1991/02/22,133.12,134.87,133.08,134.87,91,131.87,129.52,           ,           ,9100,12380,11380,6.51,4.88,3.27
 1991/03/01,134.37,134.87,132.47,132.53,113,131.96,131.86,           ,           ,11300,12940,12380,6.47,5.2,2.54
 1991/03/08,132.09,132.09,129.84,129.89,55,132.04,132.2,           ,           ,5500,12500,12910,6.15,5.39,1.52
 1991/03/15,129.3,129.89,125.08,125.17,28,131,131.58,           ,           ,2800,9280,13140,5.45,5.4,0.1
 1991/03/22,124.7,125.17,122.62,122.62,29,129.02,130.38,           ,           ,2900,6320,10240,4.64,5.25,-1.22
 1991/03/29,122.12,122.62,120.11,120.19,51,126.08,128.97,           ,           ,5100,5520,8950,3.75,4.95,-2.39
 1991/04/05,120.69,122.2,119.68,121.54,367,123.88,127.92,           ,           ,36700,10600,11770,3.13,4.58,-2.91
 1991/04/12,121.11,121.11,119.15,119.21,30,121.75,126.89,           ,           ,3000,10100,11300,2.41,4.15,-3.47
 1991/04/19,118.73,119.22,117.05,117.08,13,120.13,125.56,           ,           ,1300,9800,9540,1.66,3.65,-3.99
 1991/04/26,116.63,117.08,114.52,115.56,154,118.72,123.87,           ,           ,15400,12300,9310,0.93,3.11,-4.36
 1991/05/03,114.86,116.29,112.3,112.41,188,117.16,121.62,125.57,           ,18800,15040,10280,0.09,2.5,-4.83
 1991/05/10,111.65,112.41,108.53,108.53,73,114.56,119.22,125.54,           ,7300,9160,9880,-0.87,1.83,-5.4
 1991/05/17,107.88,107.88,104.96,106.75,239,112.07,116.91,124.56,           ,23900,13340,11720,-1.76,1.11,-5.75
 1991/05/24,107.76,110.08,106.71,110.08,267,110.67,115.4,123.49,           ,26700,18420,14110,-2.17,0.45,-5.25
 1991/05/31,111.05,114.83,109.47,114.83,122,110.52,114.62,122.5,           ,12200,17780,15040,-2.09,-0.06,-4.07
 1991/06/07,115.9,120.47,114.89,120.47,51,112.13,114.65,121.81,           ,5100,15040,15040,-1.55,-0.36,-2.4
 1991/06/14,121.65,126.34,120.47,124.53,296,115.33,114.95,121.43,           ,29600,19500,14330,-0.79,-0.44,-0.69
 1991/06/21,125.63,130.86,123.54,130.86,261,120.15,116.11,121.5,           ,26100,19940,16640,0.32,-0.29,1.22
 1991/06/28,132.1,137.56,131.8,137.56,162,125.65,118.16,121.86,           ,16200,17840,18130,1.72,0.11,3.22
 1991/07/05,136.64,138.62,134.19,135.96,562,129.88,120.2,122.03,           ,56200,26640,22210,2.68,0.63,4.1
 1991/07/12,135.26,136.57,132.42,132.8,283,132.34,122.24,121.93,           ,28300,31280,23160,3.14,1.13,4.02
 1991/07/19,133.9,138.54,131.87,136.7,268,134.78,125.05,122.14,           ,26800,30720,25110,3.78,1.66,4.24
 1991/07/26,138.07,141.46,136.7,140.66,333,136.74,128.45,122.68,           ,33300,32160,26050,4.55,2.24,4.63
 1991/08/02,141.22,146.68,140.81,146.68,307,138.56,132.11,123.75,           ,30700,35060,26450,5.58,2.91,5.35
 1991/08/09,148.06,154.1,146.68,154.1,138,142.19,136.03,125.33,           ,13800,26580,26610,6.92,3.71,6.42
 1991/08/16,155.34,161.6,154.1,161.6,317,147.95,140.15,127.4,           ,31700,27260,29270,8.49,4.66,7.65
 1991/08/23,163.21,169.81,161.6,169.81,66,154.57,144.67,129.81,           ,6600,23220,26970,10.27,5.79,8.98
 1991/08/30,171.51,178.43,169.81,178.43,114,162.12,149.43,132.77,           ,11400,18840,25500,12.25,7.08,10.33
 1991/09/06,180.08,187.36,178.43,187.36,76,170.26,154.41,136.28,           ,7600,14220,24640,14.36,8.53,11.65
 1991/09/13,189.1,190.98,185.01,187.79,1152,177,159.59,139.9,           ,115200,34500,30540,15.89,10.01,11.77
 1991/09/20,189.55,191.18,185.66,185.92,899,181.86,164.9,143.57,           ,89900,46140,36700,16.76,11.36,10.8
 1991/09/27,185,185.92,181.19,181.82,469,184.26,169.42,147.24,           ,46900,54200,38710,16.92,12.47,8.9
 1991/10/04,180.28,184.29,179.8,184.29,515,185.44,173.78,151.11,           ,51500,62220,40530,17.05,13.39,7.33
 1991/10/11,185.95,192.88,185.41,192.85,734,186.53,178.4,155.25,           ,73400,75380,44800,17.64,14.24,6.81
 1991/10/18,194.06,202.51,192.32,202.51,508,189.48,183.24,159.63,           ,50800,62500,48500,18.67,15.12,7.1
 1991/10/25,204.53,211.97,202.51,211.86,601,194.67,188.26,164.2,           ,60100,56540,51340,20.02,16.1,7.83
 1991/11/01,213.5,220.72,211.86,220.72,179,202.45,193.36,169.01,           ,17900,50740,52470,21.55,17.19,8.71
 1991/11/08,222.77,231.22,220.79,231.22,292,211.83,198.63,174.03,           ,29200,46280,54250,23.34,18.42,9.83
 1991/11/15,233.48,238.25,231.22,238.25,67,220.91,203.72,179.07,           ,6700,32940,54160,25.04,19.74,10.58
 1991/11/22,240.04,248.53,238.25,248.53,106,230.12,209.8,184.7,           ,10600,24900,43700,26.9,21.17,11.45
 1991/11/29,250.84,259.85,248.53,259.6,429,239.66,217.17,191.04,           ,42900,21460,39000,28.94,22.73,12.42
 1991/12/06,261.78,269.35,259.67,269.35,245,249.39,225.92,197.67,           ,24500,22780,36760,30.98,24.38,13.21
 1991/12/13,270.27,277,269.35,277,49,258.55,235.19,204.48,           ,4900,17920,32100,32.84,26.07,13.54
 1991/12/20,277.53,282.83,277,282.83,69,267.46,244.19,211.29,           ,6900,17960,25450,34.39,27.73,13.31
 1991/12/27,285.65,290.85,282.83,290.85,45,275.93,253.02,218.13,           ,4500,16740,20820,35.85,29.36,12.98
 1992/01/03,291.71,296.52,290.85,296.52,39,283.31,261.49,224.88,           ,3900,8940,15200,37.04,30.89,12.29
 1992/01/10,297.68,301.83,296.52,301.83,73,289.81,269.6,231.48,           ,7300,5500,14140,37.97,32.31,11.32
 1992/01/17,302.83,307.38,302,307.38,20,295.88,277.21,237.92,           ,2000,4920,11420,38.71,33.59,10.24
 1992/01/24,307.38,309.05,307.38,309.05,23,301.13,284.29,244.01,           ,2300,4000,10980,38.98,34.67,8.63
 1992/01/31,311.6,313.24,309.05,313.24,21,305.6,290.76,250.28,           ,2100,3520,10130,39.08,35.55,7.07
 1992/02/07,314.18,314.72,313.24,314.72,6,309.24,296.28,256.72,175.29,600,2860,5900,38.84,36.21,5.26
 1992/02/14,315.55,319.68,314.72,319.68,21,312.81,301.31,263.61,178.8,2100,1820,3660,38.6,36.69,3.82
 1992/02/21,319.77,359.93,319.68,359.59,449,323.26,309.57,272.38,182.68,44900,10400,7660,41.15,37.58,7.15
 1992/02/28,361.11,364.67,357.07,364.66,599,334.38,317.75,280.97,186.57,59900,21920,12960,43.09,38.68,8.82
 1992/03/06,365.15,371.76,364.66,371.76,254,346.08,325.84,289.43,190.52,25400,26580,15050,44.69,39.88,9.6
 1992/03/13,372.26,377.57,371.88,376.38,427,358.41,333.83,297.66,194.56,42700,35000,18930,45.79,41.06,9.46
 1992/03/20,377,378.32,376.21,377.99,241,370.08,341.45,305.52,198.66,24100,39400,20610,46.27,42.11,8.32
 1992/03/27,378.61,380.79,377.45,380.77,383,374.31,348.78,313,202.84,38300,38080,24240,46.33,42.95,6.77
 1992/04/03,381.54,382.06,380.76,381.33,372,377.65,356.01,320.15,207.03,37200,33540,27730,45.9,43.54,4.72
 1992/04/10,381.97,382.88,381.2,382.03,277,379.7,362.89,326.83,211.18,27700,34000,30290,45.1,43.85,2.49
 1992/04/17,387.27,414.42,382.03,414.42,952,387.31,372.86,334.57,215.84,95200,44500,39750,46.54,44.39,4.29
 1992/04/24,417.19,421.55,394.6,414.4,2012,394.59,382.33,341.82,220.54,201200,79920,59660,47.13,44.94,4.39
 1992/04/30,422.45,448.94,413.47,445.38,1780,407.51,390.91,350.24,225.8,178000,107860,72970,49.53,45.86,7.35
 1992/05/08,454.86,468.42,439.96,468.11,2302,424.87,401.26,359.5,231.52,230200,146460,90000,52.66,47.22,10.89
 1992/05/15,483.29,544.56,468.11,544.35,1941,457.33,418.52,372.18,238.54,194100,179740,106870,60.6,49.89,21.4
 1992/05/22,560.09,1349.71,544.35,1339.99,3265,642.45,514.88,424.35,258.87,326500,226000,135250,129.59,65.83,127.52
 1992/05/29,1411.98,1429.01,823.36,1234.71,3214,806.51,600.55,471,277.43,321400,250040,164980,173.77,87.42,172.7
 1992/06/05,1175.69,1249.58,1033.47,1105.76,2014,938.58,673.05,510.92,293.87,201400,254720,181290,196.12,109.16,173.92
 1992/06/12,1092.07,1206.51,1079.65,1171.71,2045,1079.3,752.09,554.05,311.45,204500,249580,198020,216.65,130.66,171.99
 1992/06/19,1174.41,1186.59,1152.69,1171.94,1617,1204.82,831.08,596.98,329.05,161700,243100,211420,230.29,150.59,159.41
 1992/06/26,1173.68,1207.82,1144.46,1164.67,1130,1169.76,906.1,639.48,346.59,113000,200400,213200,237.77,168.02,139.5
 1992/07/03,1168.89,1215.13,1156.68,1189.16,2925,1160.65,983.58,682.96,364.6,292500,194620,222330,242.88,182.99,119.77
 1992/07/10,1197.76,1215.24,1166.45,1188.62,3118,1177.22,1057.9,724.41,382.63,311800,216700,235710,244.07,195.21,97.72
 1992/07/17,1156.83,1214.83,1100.16,1125.56,2537,1167.99,1123.65,762.45,399.56,253700,226540,238060,237.19,203.6,67.16
 1992/07/24,1100.6,1178.9,961.61,1142.02,2489,1162.01,1183.41,800.97,416.68,248900,243980,243540,230.41,208.96,42.88
 1992/07/31,1169.42,1178.81,1032.54,1052.07,3929,1139.49,1154.62,834.75,432.2,392900,299960,250180,215.29,210.23,10.12
 1992/08/07,1034.7,1060.36,983.22,1005.23,3243,1102.7,1131.67,866.11,446.88,324300,306320,250470,197.26,207.64,-20.75
 1992/08/14,992.73,1006.64,627.36,858.38,5533,1036.65,1106.94,889.99,459.01,553300,354620,285660,169.17,199.94,-61.54
 1992/08/21,898.66,999.69,858.38,916.25,6686,994.79,1081.39,916.74,471.99,668600,437600,332070,149.85,189.92,-80.15
 1992/08/28,888.95,920.85,825.01,848.2,4390,936.03,1049.02,940.05,483.86,439000,475620,359800,127.58,177.46,-99.75
 1992/09/04,833.5,848.4,742.74,753.58,4891,876.33,1007.91,957,494.2,489100,494860,397410,101.13,162.19,-122.12
 1992/09/11,745.69,789.18,595.42,776.29,5299,830.54,966.62,975.1,504.86,529900,535980,421150,81.06,145.96,-129.8
 1992/09/18,762.82,793.36,694.32,754.4,5562,809.74,923.2,990.55,515.09,556200,536560,445590,62.67,129.31,-133.27
 1992/09/25,740.97,760.13,708.5,729.79,3709,772.45,883.62,1003.63,524.81,370900,477020,457310,45.59,112.56,-133.95
 1992/09/30,724.45,729.79,698.91,702.32,1970,743.28,839.65,1011.53,533.95,197000,428620,452120,29.49,95.95,-132.92
 1992/10/09,676.47,702.32,640.22,660.29,3979,724.62,800.47,977.55,542.26,397900,410380,452620,13.19,79.4,-132.41
 1992/10/16,687.45,713.77,648.84,664.75,4729,702.31,766.43,949.05,550.51,472900,398980,467480,0.62,63.64,-126.04
 1992/10/23,643.8,667.46,524.07,559.73,5211,663.38,736.56,921.75,556.86,521100,391960,464260,-17.61,47.39,-130
 1992/10/30,539.5,561.5,447.93,507.25,6537,618.87,695.66,888.53,562.19,653700,448520,462770,-35.87,30.74,-133.23
 1992/11/06,471.18,508.81,455.73,457.05,5493,569.81,656.54,852.78,566.68,549300,518980,473800,-53.78,13.83,-135.24
 1992/11/13,439.81,459.04,388.32,414.09,5629,520.57,622.6,815.25,570.48,562900,551980,481180,-70.63,-3.06,-135.14
 1992/11/20,402.02,415.64,386.85,401.44,5023,467.91,585.11,775.87,574.15,502300,557860,478420,-84.03,-19.25,-129.55
 1992/11/27,404.05,752.32,401.82,637.67,12657,483.5,573.44,748.32,581.7,1265700,706780,549370,-74.73,-30.35,-88.76
 1992/12/04,682.08,841.02,637.67,807.02,13741,543.45,581.16,732.39,591.94,1374100,850860,649690,-53.08,-34.89,-36.37
 1992/12/11,765.87,811.57,592.78,722.28,14953,596.5,583.16,711.4,600.6,1495300,1040060,779520,-42.27,-36.37,-11.81
 1992/12/18,741.06,748.19,663.17,698.13,6702,653.31,586.94,693.71,608.7,670200,1061520,806750,-35.25,-36.15,1.79
 1992/12/25,709.87,781.36,697.7,764.28,10017,725.88,596.89,681.66,617.76,1001700,1161400,859630,-24.07,-33.73,19.32
 1992/12/31,764.43,784.03,754.54,780.39,5901,754.42,618.96,677.76,626.92,590100,1026280,866530,-13.75,-29.74,31.97
 1993/01/08,784.13,893.86,777.16,889.47,15684,770.91,657.18,676.42,637.77,1568400,1065140,958000,3.19,-23.15,52.68
 1993/01/15,913.44,1099.83,901.47,1063.76,27631,839.21,717.85,687.2,651.36,2763100,1318700,1179380,30.33,-12.45,85.57
 1993/01/22,1067.98,1109.59,984.74,1100.31,15566,919.64,786.47,704.54,665.37,1556600,1495980,1278750,54.17,0.87,106.59
 1993/01/29,1126.37,1198.48,1113.57,1198.48,14527,1006.48,866.18,725.64,680.86,1452700,1586180,1373790,80.05,16.71,126.69
 1993/02/05,1242.35,1404.64,1222.18,1332.96,30667,1117,935.71,754.57,698.45,3066700,2081500,1553890,110.15,35.4,149.51
 1993/02/12,1339.59,1528.51,1334.19,1458.76,37612,1230.85,1000.88,791.02,718.05,3761200,2520060,1792600,142.51,56.82,171.39
 1993/02/19,1544.1,1558.95,1441.07,1499.74,25309,1318.05,1078.63,830.89,738.2,2530900,2473620,1896160,169.51,79.36,180.31
 1993/02/26,1487.84,1527.13,1196.47,1339.88,29159,1365.96,1142.8,864.87,755.59,2915900,2745480,2120730,175.98,98.68,154.6
 1993/03/05,1328.22,1339.1,1026.18,1109.54,17821,1348.18,1177.33,887.11,769.05,1782100,2811360,2198770,160.67,111.08,99.18
 1993/03/12,1133.52,1325.49,1089.36,1236.37,23028,1328.86,1222.93,920.94,784.54,2302800,2658580,2370040,156.96,120.26,73.41
 1993/03/19,1226.66,1241.04,1155.1,1174.99,11058,1272.1,1251.48,954.33,798.97,1105800,2127500,2323780,147.37,125.68,43.38
 1993/03/26,1148.29,1179.05,913.74,1039.76,16793,1180.11,1249.08,983.47,811.08,1679300,1957180,2215400,127.39,126.02,2.73
 1993/04/02,1008.4,1047.88,915.59,944.01,10739,1100.93,1233.45,1009.96,821.57,1073900,1588780,2167130,102.64,121.34,-37.41
 1993/04/09,945.58,1340.91,924.49,1243.02,38517,1127.63,1237.9,1052.04,836.95,3851700,2002700,2407030,105.94,118.26,-24.65
 1993/04/16,1254.62,1341.19,1195.57,1214.75,34365,1123.31,1226.08,1080.89,851.21,3436500,2229440,2444010,105.06,115.62,-21.13
 1993/04/23,1203.85,1295.76,1185.76,1260.25,21103,1140.36,1206.23,1103.56,866.13,2110300,2430340,2278920,106.8,113.86,-14.12
 1993/04/30,1298.92,1392.62,1282.54,1358.78,32757,1204.16,1192.14,1135.38,882.58,3275700,2749620,2353400,114.81,114.05,1.52
 1993/05/07,1365.15,1380.5,1151.49,1199.81,26658,1255.32,1178.13,1160.47,896.31,2665800,3068000,2328390,107.09,112.66,-11.13
 1993/05/14,1216.72,1221.98,1107.66,1167.47,13376,1240.21,1183.92,1180.63,909.47,1337600,2565180,2283940,97.25,109.57,-24.65
 1993/05/21,1162.07,1178.54,1097.61,1143.97,9043,1226.06,1174.68,1198.8,922.19,904300,2058740,2144090,86.55,104.97,-36.84
 1993/05/28,1136.29,1143.97,942.21,972.77,13618,1168.56,1154.46,1202.97,932.04,1361800,1909040,2169690,63.53,96.68,-66.31
